newugroutebori,0,0.0 m?
newugroutebori,1,0.5 m?
newugroutebori,2,1.0 m?
newugroutebori,3,1.5 m?
newugroutebori,4,2.0 m?
newugroutebori,5,2.5 m?
newugroutebori,6,3.0 m?
newugroutebori,7,3.5 m?
newugroutebori,8,4.0 m?
newugroutebori,9,4.5 m?
newugroutebori,10,5.0 m?
newugroutebori,11,5.5 m?
newugroutebori,12,6.0 m?
newugroutebori,13,6.5 m?
newugroutebori,14,7.0 m?
newugroutebori,15,7.5 m?
newugroutebori,16,8.0 m?
newugroutebori,17,8.5 m?
newugroutebori,18,9.0 m?
newugroutebori,19,9.5 m?
newugroutebori,20,10.0 m?
newugroutebori,21,10.5 m?
newugroutebori,22,11.0 m?
newugroutebori,23,11.5 m?
newugroutebori,24,12.0 m?
newugroutebori,25,12.5 m?
newugroutebori,26,13.0 m?
newugroutebori,27,13.5 m?
newugroutebori,28,14.0 m?
newugroutebori,29,14.5 m?
newugroutebori,30,15.0 m?
newugroutebori,31,15.5 m?
newugroutebori,32,16.0 m?
newugroutebori,33,16.5 m?
newugroutebori,34,17.0 m?
newugroutebori,35,17.5 m?
newugroutebori,36,18.0 m?
newugroutebori,37,18.5 m?
newugroutebori,38,19.0 m?
newugroutebori,39,19.5 m?
newugroutebori,40,20.0 m?
newugroutebori,41,20.5 m?
newugroutebori,42,21.0 m?
newugroutebori,43,21.5 m?
newugroutebori,44,22.0 m?
newugroutebori,45,22.5 m?
newugroutebori,46,23.0 m?
newugroutebori,47,23.5 m?
newugroutebori,48,24.0 m?
newugroutebori,49,24.5 m?
newugroutebori,50,25.0 m?
newugroutebori,51,25.5 m?
newugroutebori,52,26.0 m?
newugroutebori,53,26.5 m?
newugroutebori,54,27.0 m?
newugroutebori,55,27.5 m?
newugroutebori,56,28.0 m?
newugroutebori,57,28.5 m?
newugroutebori,58,29.0 m?
newugroutebori,59,29.5 m?
newugroutebori,60,30.0 m?
newugroutebori,61,30.5 m?
newugroutebori,62,31.0 m?
newugroutebori,63,31.5 m?
newugroutebori,64,32.0 m?
newugroutebori,65,32.5 m?
newugroutebori,66,33.0 m?
newugroutebori,67,33.5 m?
newugroutebori,68,34.0 m?
newugroutebori,69,34.5 m?
newugroutebori,70,35.0 m?
newugroutebori,71,35.5 m?
newugroutebori,72,36.0 m?
newugroutebori,73,36.5 m?
newugroutebori,74,37.0 m?
newugroutebori,75,37.5 m?
newugroutebori,76,38.0 m?
newugroutebori,77,38.5 m?
newugroutebori,78,39.0 m?
newugroutebori,79,39.5 m?
newugroutebori,80,40.0 m?
newugroutebori,81,40.5 m?
newugroutebori,82,41.0 m?
newugroutebori,83,41.5 m?
newugroutebori,84,42.0 m?
newugroutebori,85,42.5 m?
newugroutebori,86,43.0 m?
newugroutebori,87,43.5 m?
newugroutebori,88,44.0 m?
newugroutebori,89,44.5 m?
newugroutebori,90,45.0 m?
newugroutebori,91,45.5 m?
newugroutebori,92,46.0 m?
newugroutebori,93,46.5 m?
newugroutebori,94,47.0 m?
newugroutebori,95,47.5 m?
newugroutebori,96,48.0 m?
newugroutebori,97,48.5 m?
newugroutebori,98,49.0 m?
newugroutebori,99,49.5 m?
newugroutebori,100,50.0 m?
newugroutebori,101,50.5 m?
newugroutebori,102,51.0 m?
newugroutebori,103,51.5 m?
newugroutebori,104,52.0 m?
newugroutebori,105,52.5 m?
newugroutebori,106,53.0 m?
newugroutebori,107,53.5 m?
newugroutebori,108,54.0 m?
newugroutebori,109,54.5 m?
newugroutebori,110,55.0 m?
newugroutebori,111,55.5 m?
