OBJECTID,conduitid,routeid,startnode,endnode,nestcolumn,nestrow,nbnlength,subductnum,actlength,material,diameter,leadin,fill,cableids,owner,scopestate,blockenda,blockendb,blocksurf,mandrelcal,mandrelscp,mandrelmax,fr02,fr05,fr06,fr07,fr08,fr09,fr10,fr12,fr14,fr15,fr16,ohsflag,stdcomment,fircomment,othcomment,loadsource,phototaken,projectid,Shape,GlobalID
32,15008801335,15001686940,207607574,15008801333,A,A,91,0,0,,100, ,0,-,0,0,0,0,-1,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,-1,,, ,N,6PNG-6YND,0x110F0000010403000000E8FBA9FF599A684108CE19D1B4574DC1EC51B8585A9A6841606DC586B7574DC15A86383C5A9A684198438B14CC574DC101000000010000000001000000FFFFFFFF0000000002,4F954EC6-3049-4E4C-939A-E911E1D946C9
33,207212082,201472061,5000106508,5000106514,A,A,50,0,0,,80, ,0,-,0,0,0,0,-1,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,-1,,, ,N,6PNG-6YND,0x110F00000114F2B05003B79768414082E237544E4DC1BC7493E2BC976841F84A595E524E4DC1,6FDAC897-EC1B-4692-860F-8914BF25FAFF
34,15014596397,15003436182,15014596273,15014596350,A,A,10,0,0,,20, ,0,-,0,0,0,0,-1,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,-1,,, ,N,6PNG-6YND,0x110F0000011458CA32462C9A684160A1D6F42A574DC126E483022C9A6841D0B3591D28574DC1,0B2FED8D-D722-4670-9B91-12C1FCD8F5C0
35,15006789389,15001273127,207698894,15006789388,A,A,10,0,0,,20, ,0,-,0,0,0,0,-1,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,-1,,, ,N,6PNG-6YND,0x110F000001040300000092CB7F6E66996841381136C4EA544DC1EA26314066996841802F4C7EEB544DC1708104A765996841C8EEC9E3EB544DC101000000010000000001000000FFFFFFFF0000000002,1C135B03-A59F-428F-B8C0-C8506F224B2E
36,4213063580,4202094684,207611978,4213063570,A,A,10.1,0,0,,20, ,0,-,0,0,0,0,-1,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,-1,,, ,N,6PNG-6YND,0x110F00000104030000004C158C3C3D9A68412063EE9A34574DC152DA1B403D9A6841F09E3C8C33574DC14C3789E73D9A6841704694D630574DC101000000010000000001000000FFFFFFFF0000000002,024252FB-2B21-4933-BF3A-A5B48C3AB650
37,4213244495,4202131798,207613864,4213244458,A,A,12.7,0,0,,20, ,0,-,0,0,0,0,-1,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,-1,,, ,N,6PNG-6YND,0x110F0000010403000000CA32C42D0898684120B9FC5F01504DC1F8C2641808986841487B837F02504DC142AD69340798684198C4209806504DC101000000010000000001000000FFFFFFFF0000000002,FE159DD2-A54D-4C9D-8E7B-E30142A37835
38,4213235135,4202130145,5000370190,4213235110,A,A,11,0,0,,20, ,0,-,0,0,0,0,-1,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,-1,,, ,N,6PNG-6YND,0x110F0000010403000000FA0FE99FCD956841400AD79BDB4C4DC1C8293A5CCD95684120B9FCBFDA4C4DC1CCEEC95FCD95684130D49A96D64C4DC101000000010000000001000000FFFFFFFF0000000002,11AEC6D1-873D-4693-A131-AAEA3066FC33
39,207612253,201547027,207612242,207612250,A,A,12.9,0,0,,20, ,0,-,0,0,0,0,-1,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,-1,,, ,N,6PNG-6YND,0x110F0000011428A089EC409A684108D7A33851574DC1D8817322429A6841C810C7FA55574DC1,6545DEBB-CFE7-42A2-A678-BD23B4796FC8
40,N249386461,201546706,207237099,207610025,A,A,10.4,0,0,,50, ,0,-,0,0,0,0,-1,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,-1,,, ,N,6PNG-6YND,0x110F00000114FE43FA73509A684130FF218D8E574DC14A9D803A4F9A684178E926A989574DC1,5954D327-13FF-486E-B408-021A7C18F781
41,15013601761,15003179712,207612000,15013601732,A,A,10,0,0,,20, ,0,-,0,0,0,0,-1,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,-1,,, ,N,6PNG-6YND,0x110F000001148A1F6340459A6841780B241054574DC15405A38C489A6841286519A240574DC1,091A2AF4-6C18-4851-A04D-144E9760FA14
42,5000370404,5000053461,5000370163,5000370401,A,A,77.7,0,0,,50, ,0,-,0,0,0,0,-1,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,-1,,, ,N,6PNG-6YND,0x110F00000104050000009CA2234FC8956841D0AACFCD934C4DC1FC18737DC895684148BF7D85954C4DC14082E279C8956841C88F3117A04C4DC1423EE8DDD0956841A8E84806A04C4DC1DE240657D1956841C84B37D1A04C4DC101000000010000000001000000FFFFFFFF0000000002,C620147B-FC1B-4F35-9799-621052665337
43,207612109,201546983,5000309299,207612103,A,A,46,0,0,,35, ,0,-,0,0,0,0,-1,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,-1,,, ,N,6PNG-6YND,0x110F00000114C2A8A41A489A684170D7124A60574DC17E6ABCEE4C9A684150F38E6373574DC1,DDCB6AA7-B5DF-45B2-B3FE-7F6A8EFA58CF
44,15010246133,15002029048,15010235758,15010246132,A,A,10,0,0,,20, ,0,-,0,0,0,0,-1,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,-1,,, ,N,6PNG-6YND,0x110F0000010403000000FEB27B32CF9968413008AC1404564DC164CC5DB9CE9968411873D7F203564DC1182653B5CD996841787AA51C08564DC101000000010000000001000000FFFFFFFF0000000002,4122E9E0-022D-4D42-AAA9-B2EABC38BD80
45,15013842753,15003238364,15013841627,15013841625,A,A,20,0,0,,50, ,0,-,0,0,0,0,-1,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,-1,,, ,N,6PNG-6YND,0x110F00000114B615FB6712966841D81B7C69394D4DC13433330514966841C8EEC9DB424D4DC1,1703FBFA-9EA3-463E-BC36-3D3DB1648080
46,207500882,201528964,207500835,5002413345,A,A,39,0,0,,35, ,0,-,0,0,0,0,-1,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,-1,,, ,N,6PNG-6YND,0x110F00000114FC3A70EAC595684138AB3E57B04C4DC10A8A1FF5C5956841B8270F8BBE4C4DC1,A7C20EF3-84DD-4675-ABA2-CA3022B24351
47,4213175983,4202118557,207486117,4213175938,A,A,10,0,0,,20, ,0,-,0,0,0,0,-1,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,-1,,, ,N,6PNG-6YND,0x110F0000010405000000464772C9F795684110F241DF9A4C4DC12EB29DD9FB956841508D972E964C4DC1C8073DFDFB956841B003E7BC934C4DC15AD3BC19FC95684100B37BD2914C4DC1287E8C2BFC956841480C02B3904C4DC101000000010000000001000000FFFFFFFF0000000002,9AEFCF46-245A-4F07-800E-00B1A12EADEF
48,4213243636,4202131669,207613494,4213243585,A,A,10,0,0,,20, ,0,-,0,0,0,0,-1,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,-1,,, ,N,6PNG-6YND,0x110F000001040300000002098AC11398684150158C122A504DC1A857CA9613986841280681DD2A504DC1EE7C3FAF12986841509621F62E504DC101000000010000000001000000FFFFFFFF0000000002,55B5EF9D-19C6-4686-8F5B-2AECB948226D
49,207680753,201558479,207680685,207680724,A,A,36.3,0,0,,80, ,0,-,0,0,0,0,-1,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,-1,,, ,N,6PNG-6YND,0x110F0000010404000000D656ECB9DE996841C05296F96A564DC10A462519DD996841984C15946A564DC1DCF97E08D8996841285C8FE256564DC1DCF97E08D8996841305530F24F564DC101000000010000000001000000FFFFFFFF0000000002,374D1D7F-C432-421A-8635-D638B2D45AB4
50,207585897,201543176,207485763,207149946,A,A,70.9,0,0,,80, ,0,-,0,0,0,0,-1,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,-1,,, ,N,6PNG-6YND,0x110F000001040300000088F4DBA105966841B8DA8AB5D04C4DC1240681EB0A96684100E78C68D44C4DC116FBCB020F9668413033330BDF4C4DC101000000010000000001000000FFFFFFFF0000000002,93B2FB5C-079E-4B0F-8C36-706DB2E2689F
51,5001859671,15003469581,15014729275,15014729267,A,A,41,0,0,,50, ,0,-,0,0,0,0,-1,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,-1,,, ,N,6PNG-6YND,0x110F00000114DC4603B2A1996841D8D7812B90554DC116D9CE699F996841480C025B99554DC1,EDAC2464-3326-4388-8B90-E0A054C79D06
52,15014729271,15003469581,15014729275,15014729267,A,A,41,0,0,,50, ,0,-,0,0,0,0,-1,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,-1,,, ,N,6PNG-6YND,0x110F00000114DC4603B2A1996841D8D7812B90554DC116D9CE699F996841480C025B99554DC1,5AA456A0-DC03-4426-9B73-A54EF08EBB5C
53,15014729274,15003469581,15014729275,15014729267,A,A,41,0,0,,50, ,0,-,0,0,0,0,-1,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,-1,,, ,N,6PNG-6YND,0x110F00000114DC4603B2A1996841D8D7812B90554DC116D9CE699F996841480C025B99554DC1,384F9A5A-E6BA-457C-ADFD-5ACB23A6A035
54,15013850068,15003240628,15013196537,207149946,A,A,26,0,0,,100, ,0,6PNJ-00-00-TSS-005,0,0,0,0,-1,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,-1,,, ,N,6PNG-6YND,0x110F000001040400000042AD69980F966841580E2DA2EE4C4DC1CA32C49110966841701283F8E64C4DC14872F99B0F96684128189534E34C4DC16CE7FB290F96684138EF38C5DF4C4DC101000000010000000001000000FFFFFFFF0000000002,16639A24-151D-47E5-8064-00643B2E3A29
55,15005957741,15001140708,207680607,15005957739,A,A,29,0,0,,20, ,0,-,0,0,0,0,-1,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,-1,,, ,N,6PNG-6YND,0x110F00000104030000001895D4E7EC9968412085EB49A2564DC138454772EC996841F00DBE989D564DC16891ED44EE996841D000DE1A82564DC101000000010000000001000000FFFFFFFF0000000002,48CA866E-1BC3-4642-B3DC-9B3BFFA94C4F
